datetime,open,high,low,close,volume,VWAP,EMA_9,SMA_21,RSI
2025-02-01 00:00:00+05:30,1265.1,1270.55,1241.0,1264.6,7118453,1264.6,1264.6,,
2025-02-03 00:00:00+05:30,1251.0,1256.0,1237.55,1245.9,9252345,1254.0312512132884,1260.86,,
2025-02-04 00:00:00+05:30,1248.05,1288.8,1246.6,1285.2,16691069,1269.7665917686984,1265.728,,
2025-02-05 00:00:00+05:30,1282.65,1290.5,1276.7,1278.2,10112028,1271.7418330613905,1268.2224,,
2025-02-06 00:00:00+05:30,1273.7,1288.0,1270.35,1281.55,9956001,1273.57978357891,1270.8879200000001,,
2025-02-07 00:00:00+05:30,1276.15,1283.7,1262.0,1266.7,8764283,1272.605598748632,1270.0503360000002,,
2025-02-10 00:00:00+05:30,1264.5,1266.5,1245.55,1253.65,6970972,1270.6867915406156,1266.7702688000004,,
2025-02-11 00:00:00+05:30,1264.55,1264.55,1230.1,1234.85,8859714,1266.6018217728652,1260.3862150400003,,
2025-02-12 00:00:00+05:30,1219.45,1226.9,1193.35,1216.55,21131654,1255.9027015684217,1251.6189720320003,,
2025-02-13 00:00:00+05:30,1217.05,1228.0,1212.0,1216.1,8511216,1252.747476300492,1244.5151776256002,,
2025-02-14 00:00:00+05:30,1219.0,1224.0,1205.45,1217.25,10298145,1249.6407289742788,1239.0621421004803,,
2025-02-17 00:00:00+05:30,1211.1,1227.5,1204.5,1224.9,8166683,1248.0350262380018,1236.2297136803843,,
2025-02-18 00:00:00+05:30,1224.85,1229.9,1216.1,1225.4,6673250,1246.8950823712166,1234.0637709443076,,
2025-02-19 00:00:00+05:30,1219.5,1232.75,1217.55,1227.45,6217338,1246.0235865273853,1232.7410167554463,,37.202893558387906
2025-02-20 00:00:00+05:30,1223.95,1239.35,1222.0,1233.0,7795582,1245.3306619120165,1232.792813404357,,39.51559389515595
2025-02-21 00:00:00+05:30,1228.7,1240.0,1222.15,1228.15,6904025,1244.5575320263115,1231.8642507234858,,43.514797223237125
2025-02-24 00:00:00+05:30,1216.55,1223.25,1210.5,1214.55,7172498,1243.217336999357,1228.4014005787888,,18.218623481781364
2025-02-25 00:00:00+05:30,1211.0,1221.0,1201.5,1204.0,11552182,1240.585605619353,1223.5211204630311,,17.654751525719263
2025-02-27 00:00:00+05:30,1212.8,1215.0,1200.65,1207.1,11509215,1238.4871625290373,1220.236896370425,,17.474879860200957
2025-02-28 00:00:00+05:30,1202.0,1217.35,1193.3,1200.1,23007298,1234.2136311104882,1216.20951709634,,18.761726078799228
